video_cluster_code,trigger_code,name,description,is_published,cluster_search_keywords
CLUST_PV_NUTR_OVERWEIGHT_PREVENT_BASIC,PV_NUTR_OVERWEIGHT_PREVENT,Preventing overweight – lifestyle basics (basic pack),"Food, movement and screen habits to prevent overweight.",FALSE,overweight prevention pack|lifestyle pack
CLUST_PV_NUTR_PICKY_BASIC,PV_NUTR_PICKY,Picky eating – mealtime rules (basic pack),"Mealtime structure, no screens and reducing pressure.",FALSE,picky eating pack|mealtime rules pack
CLUST_PV_VACC_12_18_BASIC,PV_VACC_12_18,12–18 month vaccines – boosters & new vaccines (basic pack),"Boosters, PCV, chickenpox and hepatitis A at 12–18 months.",FALSE,12 15 18 month pack|booster pack|PCV chickenpox Hep A pack
CLUST_PV_VACC_6_10_14_BASIC,PV_VACC_6_10_14,6–10–14 week vaccines – early protection (basic pack),Diseases covered in early infant vaccines and how to handle pain/fever.,FALSE,6 10 14 pack|infant vaccines pack|early protection pack
CLUST_PV_VACC_9_12_BASIC,PV_VACC_9_12,9–12 month vaccines – measles/MMR & typhoid (basic pack),Explains MMR and typhoid vaccines around 9–12 months plus general vaccine care.,FALSE,9 month pack|12 month pack|MMR pack|typhoid pack
CLUST_PV_VACC_BIRTH_BASIC,PV_VACC_BIRTH,Birth vaccines – first protection (basic pack),Explains first vaccines at birth and what to expect afterwards.,FALSE,birth vaccines pack|BCG pack|Hep B birth pack
CLUST_PV_VACC_CATCHUP_BASIC,PV_VACC_CATCHUP,Catch-up vaccination (basic pack),What to do when vaccines are missed and how to use the vaccination card.,FALSE,catch-up pack|missed vaccine pack|card reading pack
CLUST_PV_VACC_MILD_ILL_BASIC,PV_VACC_MILD_ILL,Vaccines with mild illness (basic pack),When mild cold/fever is not a reason to delay vaccination and when to postpone.,FALSE,mild illness vaccine pack|can we vaccinate pack
CLUST_PV_VACC_MYTHS_BASIC,PV_VACC_MYTHS,Vaccine myths & truths (basic pack),Common vaccine myths from family/social media with clear facts.,FALSE,vaccine myth pack|social media rumour pack
CLUST_PV_VACC_SCHOOL_ENTRY_BASIC,PV_VACC_SCHOOL_ENTRY,School entry boosters (basic pack),Booster vaccines needed before starting school and why they matter.,FALSE,school entry pack|4–6 year booster pack
CLUST_PV_VACC_TEEN_BASIC,PV_VACC_TEEN,Teen vaccines – HPV & boosters (basic pack),HPV vaccine and tetanus/diphtheria boosters in the teen years.,FALSE,teen vaccine pack|HPV pack|Tdap pack
CLUST_SM_COUGH_CHRONIC_MONITOR_BASIC,SM_COUGH_CHRONIC_MONITOR,Chronic cough – diary and red flags (basic pack),How to keep a cough diary and recognise when long cough may be serious.,FALSE,chronic cough pack|cough diary pack|cough red flags
CLUST_SM_EVENTS_SUSPECT_SEIZURE_BASIC,SM_EVENTS_SUSPECT_SEIZURE,Suspected seizures – record episodes & first aid (basic pack),How to record suspicious episodes and basic seizure first aid.,FALSE,suspected seizure pack|episode recording pack|seizure first aid pack
CLUST_SM_FEVER_NO_FOCUS_WATCH_BASIC,SM_FEVER_NO_FOCUS_WATCH,Early fever – watchful waiting (basic pack),"Explains why many early fevers are viral, what to watch at home and basic fever care.",FALSE,early fever pack|fever no focus pack|watchful waiting|home monitoring fever
CLUST_SM_FEVER_PERSIST_NO_FOCUS_BASIC,SM_FEVER_PERSIST_NO_FOCUS,Persistent fever – tests and monitoring (basic pack),Covers when tests are needed in prolonged fever and how to monitor until results.,FALSE,persistent fever pack|fever 3 days pack|tests for fever pack
CLUST_SM_HEADACHE_RECUR_DIARY_BASIC,SM_HEADACHE_RECUR_DIARY,Recurrent headaches – diary and red flags (basic pack),Headache diary plus warning symptoms needing urgent evaluation.,FALSE,headache diary pack|migraine pack|headache red flags pack
CLUST_SM_NEWBORN_JAUNDICE_BORDERLINE_BASIC,SM_NEWBORN_JAUNDICE_BORDERLINE,Borderline newborn jaundice – home monitoring (basic pack),Home monitoring of jaundice and when phototherapy may be needed.,FALSE,borderline jaundice pack|newborn jaundice monitoring pack
CLUST_SM_OVERWEIGHT_OBESITY_RISK_BASIC,SM_OVERWEIGHT_OBESITY_RISK,Overweight child – lifestyle diary (basic pack),Food and screen-time diary plus first small lifestyle changes.,FALSE,overweight pack|lifestyle diary pack
CLUST_SM_POOR_WEIGHT_GAIN_MON_BASIC,SM_POOR_WEIGHT_GAIN_MON,Poor weight gain – diary and follow-up (basic pack),"Diet diary, growth chart and when further tests are needed.",FALSE,poor weight gain pack|growth monitoring pack
CLUST_SM_REC_ABD_PAIN_DIARY_BASIC,SM_REC_ABD_PAIN_DIARY,Recurrent stomach pain – diary and red flags (basic pack),Pain and stool diary with danger signs needing earlier tests.,FALSE,recurrent abdominal pain pack|stomach pain diary pack
CLUST_SM_SUSPECT_ALLERGIC_RHINITIS_TRIAL_BASIC,SM_SUSPECT_ALLERGIC_RHINITIS_TRIAL,Suspected allergic nose – nasal spray trial (basic pack),Trial of nasal spray with simple home trigger control.,FALSE,allergic rhinitis pack|nasal spray pack
CLUST_SM_SUSPECT_ASTHMA_TRIAL_THERAPY_BASIC,SM_SUSPECT_ASTHMA_TRIAL_THERAPY,Suspected asthma – inhaler trial (basic pack),Inhaler trial explanation plus technique demo for reliever device.,FALSE,suspected asthma pack|inhaler trial pack
CLUST_SM_SUSPECT_AUTISM_SPEECH_DELAY_BASIC,SM_SUSPECT_AUTISM_SPEECH_DELAY,Speech / social delay – early signs (basic pack),Early signs to watch and what to do if worried.,FALSE,speech delay pack|autism early signs pack
CLUST_SM_SUSPECT_BEHAV_ADHD_SCHOOL_BASIC,SM_SUSPECT_BEHAV_ADHD_SCHOOL,Behaviour & school – reports and observation (basic pack),Observing behaviour at home and working with school.,FALSE,behaviour and school pack|ADHD suspicion pack
CLUST_SM_SUSPECT_DENGUE_EARLY_BASIC,SM_SUSPECT_DENGUE_EARLY,Suspected dengue – home monitoring (basic pack),"Early dengue-like illness, fluids, timing of tests and warning signs.",FALSE,suspected dengue pack|early dengue pack|dengue monitoring pack
CLUST_SM_SUSPECT_FOOD_ALLERGY_ELIM_BASIC,SM_SUSPECT_FOOD_ALLERGY_ELIM,Suspected food allergy – elimination trial (basic pack),Safe elimination diet and when specialist tests are needed.,FALSE,food allergy pack|elimination diet pack
CLUST_SM_SUSPECT_REFLUX_INFANT_BASIC,SM_SUSPECT_REFLUX_INFANT,Suspected reflux in babies (basic pack),Feeding and positioning trial to see if symptoms improve.,FALSE,reflux baby pack|spitting up pack
CLUST_SM_SUSPECT_TYPHOID_PROLONGED_FEVER_BASIC,SM_SUSPECT_TYPHOID_PROLONGED_FEVER,Suspected typhoid – prolonged fever (basic pack),"Why typhoid is suspected, hygiene advice and follow-up while tests are pending.",FALSE,suspected typhoid pack|prolonged fever pack|typhoid tests pack
